RT_ID,SN_B,STOP_CD_B,SN_E,STOP_CD_E,DIST,LMT_SPD
12OMA,1,ESTAMAJ,2,MERMACA,558,60
12OMA,2,MERMACA,3,C12CH3A,188,40
12OMA,3,C12CH3A,4,CAHCH4A,199,30
12OMA,4,CAHCH4A,5,EJMCH3A,250,30
12OMA,5,EJMCH3A,6,PAQSANA,227,30
12OMA,6,PAQSANA,7,SAEDESA,229,40
12OMA,7,SAEDESA,8,AVBCE3A,186,40
12OMA,8,AVBCE3A,9,MELCHCA,255,40
12OMA,9,MELCHCA,10,GIMMARA,293,40
12OMA,10,GIMMARA,11,ESTAMAJ,703,40
ACNAL-I,1,EALCDIA,2,CESAZ3A,184,30
ACNAL-I,2,CESAZ3A,3,CJGAZ3A,435,30
ACNAL-I,3,CJGAZ3A,4,BOMAZ3A,319,30
ACNAL-I,4,BOMAZ3A,5,CTAAZ3A,279,30
ACNAL-I,5,CTAAZ3A,6,IGLAZ3A,227,30
ACNAL-I,6,IGLAZ3A,7,CORAZ3A,240,30
ACNAL-I,7,CORAZ3A,8,OLAAZ3A,223,20
ACNAL-I,8,OLAAZ3A,9,LIVAZ3A,253,20
ACNAL-I,9,LIVAZ3A,10,ALTAZ3A,243,20
ACNAL-I,10,ALTAZ3A,11,GRIAZ3A,147,20
ACNAL-I,11,GRIAZ3A,12,CA7AZ3A,488,20
ACNAL-I,12,CA7AZ3A,13,C4BCB1A,402,40
ACNAL-I,13,C4BCB1A,14,MELCB1A,560,30
ACNAL-I,14,MELCB1A,15,JUDCB1A,390,40
ACNAL-I,15,JUDCB1A,16,MOCON1A,335,60
ACNAL-I,16,MOCON1A,17,ECATK4A,461,60
ACNAL-I,17,ECATK4A,18,CABTK1A,266,60
ACNAL-I,18,CABTK1A,19,FLOTK1A,494,60
ACNAL-I,19,FLOTK1A,20,EBETK1A,681,60
ACNAL-I,20,EBETK1A,21,PLCTK1A,205,60
ACNAL-I,21,PLCTK1A,22,GONTK1A,428,60
ACNAL-I,22,GONTK1A,23,LAJTK1A,701,60
ACNAL-I,23,LAJTK1A,24,PALTK1A,400,60
ACNAL-I,24,PALTK1A,25,ROCTK1A,354,60
ACNAL-I,25,ROCTK1A,26,ULATK1A,383,60
ACNAL-I,26,ULATK1A,27,ZAITK1A,291,60
ACNAL-I,27,ZAITK1A,28,CELTK1A,346,60
ACNAL-I,28,CELTK1A,29,CHITK1A,247,60
ACNAL-I,29,CHITK1A,30,MILTK1A,677,60
ACNAL-I,30,MILTK1A,31,BNPTK1A,308,60
ACNAL-I,31,BNPTK1A,32,ESTSI1A,371,60
ACNAL-I,32,ESTSI1A,33,CRUTK1A,330,60
ACNAL-I,33,CRUTK1A,34,TINCN1A,3070,80
ACNAL-I,34,TINCN1A,35,GMSCN1A,8442,80
ACNAL-I,35,GMSCN1A,36,AVNCE4A,280,60
ACNAL-I,36,AVNCE4A,37,MSOCE1A,293,60
ACNAL-I,37,MSOCE1A,38,PERVE3A,598,60
ACNAL-I,38,PERVE3A,39,IGLDB3A,274,60
ACNAL-I,39,IGLDB3A,40,PCACE3A,288,60
ACNAL-I,40,PCACE3A,41,CAMCE3A,640,60
ACNAL-I,41,CAMCE3A,42,MOGCE4A,59,60
ACNAL-I,42,MOGCE4A,43,ABACE1A,742,60
ACNAL-I,43,ABACE1A,44,PNACE1A,565,40
ACNAL-I,44,PNACE1A,45,ALBROCG,2518,40
ACNAL-R,1,ALBROCG,2,PNACE2A,3154,40
ACNAL-R,2,PNACE2A,3,ABACE2A,317,40
ACNAL-R,3,ABACE2A,4,MOGCE4A,993,60
ACNAL-R,4,MOGCE4A,5,ESTAMAH,1038,40
ACNAL-R,5,ESTAMAH,6,MCACE3A,405,40
ACNAL-R,6,MCACE3A,7,C28CE3A,338,60
ACNAL-R,7,C28CE3A,8,LONCE3A,284,60
ACNAL-R,8,LONCE3A,9,PFACE3A,279,60
ACNAL-R,9,PFACE3A,10,MEFCE4A,139,60
ACNAL-R,10,MEFCE4A,11,BELCE3A,535,60
ACNAL-R,11,BELCE3A,12,C45JA3A,625,60
ACNAL-R,12,C45JA3A,13,ARAJA4A,146,60
ACNAL-R,13,ARAJA4A,14,MSOCE2A,325,60
ACNAL-R,14,MSOCE2A,15,AVNCE4A,289,60
ACNAL-R,15,AVNCE4A,16,GMSCN2A,275,80
ACNAL-R,16,GMSCN2A,17,TINCN2A,8326,80
ACNAL-R,17,TINCN2A,18,ETITK3A,2410,40
ACNAL-R,18,ETITK3A,19,CSITK2A,208,60
ACNAL-R,19,CSITK2A,20,ESTSI2A,665,60
ACNAL-R,20,ESTSI2A,21,BNPTK2A,189,60
ACNAL-R,21,BNPTK2A,22,MILTK2A,124,60
ACNAL-R,22,MILTK2A,23,CHITK2A,684,60
ACNAL-R,23,CHITK2A,24,CELTK2A,278,60
ACNAL-R,24,CELTK2A,25,ZAITK2A,313,60
ACNAL-R,25,ZAITK2A,26,ULATK2A,240,60
ACNAL-R,26,ULATK2A,27,ROCTK2A,428,60
ACNAL-R,27,ROCTK2A,28,PALTK2A,268,60
ACNAL-R,28,PALTK2A,29,LAJTK2A,463,60
ACNAL-R,29,LAJTK2A,30,GONTK2A,764,60
ACNAL-R,30,GONTK2A,31,EBETK2A,538,60
ACNAL-R,31,EBETK2A,32,FLOTK2A,593,60
ACNAL-R,32,FLOTK2A,33,CABTK2A,611,60
ACNAL-R,33,CABTK2A,34,ECATK4A,295,60
ACNAL-R,34,ECATK4A,35,CIUCB2A,508,60
ACNAL-R,35,CIUCB2A,36,VCUTK2A,586,60
ACNAL-R,36,VCUTK2A,37,ROQTK2A,327,60
ACNAL-R,37,ROQTK2A,38,EALCDIA,632,30
ACNAL-R,38,EALCDIA,39,CESAZ3A,184,30
ACNAL-R,39,CESAZ3A,40,CJGAZ3A,435,30
ACNAL-R,40,CJGAZ3A,41,BOMAZ3A,319,30
ACNAL-R,41,BOMAZ3A,42,CTAAZ3A,279,30
ACNAL-R,42,CTAAZ3A,43,IGLAZ3A,227,30
ACNAL-R,43,IGLAZ3A,44,CORAZ3A,240,30
ACNAL-R,45,OLAAZ3A,46,LIVAZ3A,253,20
ACNAL-R,46,LIVAZ3A,47,ALTAZ3A,243,20
ACNAL-R,47,ALTAZ3A,48,GRIAZ3A,147,20
ACNAL-R,48,GRIAZ3A,49,CA7AZ3A,488,20
ACNAL-R,49,CA7AZ3A,50,C4BCB1A,402,40
ACNAL-R,50,C4BCB1A,51,MELCB1A,560,30
ACNAL-R,51,MELCB1A,52,JUDCB1A,390,40
ACNAL-R,52,JUDCB1A,53,MOCON1A,335,60
ADKAL-DI,1,EALCDIA,2,CESAZ3A,184,30
ADKAL-DI,2,CESAZ3A,3,CJGAZ3A,435,30
ADKAL-DI,3,CJGAZ3A,4,BOMAZ3A,319,30
ADKAL-DI,4,BOMAZ3A,5,CTAAZ3A,279,30
ADKAL-DI,5,CTAAZ3A,6,IGLAZ3A,227,30
ADKAL-DI,6,IGLAZ3A,7,CORAZ3A,240,30
ADKAL-DI,7,CORAZ3A,8,OLAAZ3A,223,20
ADKAL-DI,8,OLAAZ3A,9,LIVAZ3A,253,20
ADKAL-DI,9,LIVAZ3A,10,ALTAZ3A,243,20
ADKAL-DI,10,ALTAZ3A,11,GRIAZ3A,147,20
ADKAL-DI,11,GRIAZ3A,12,CA7AZ3A,488,20
ADKAL-DI,12,CA7AZ3A,13,C4BCB1A,402,40
ADKAL-DI,13,C4BCB1A,14,MELCB1A,560,30
ADKAL-DI,14,MELCB1A,15,JUDCB1A,390,40
ADKAL-DI,15,JUDCB1A,16,MOCON1A,335,60
ADKAL-DI,16,MOCON1A,17,ECATK4A,461,60
ADKAL-DI,17,ECATK4A,18,CABTK1A,266,60
ADKAL-DI,18,CABTK1A,19,FLOTK1A,494,60
ADKAL-DI,19,FLOTK1A,20,EBETK1A,681,60
ADKAL-DI,20,EBETK1A,21,PLCTK1A,205,60
ADKAL-DI,21,PLCTK1A,22,GONTK1A,428,60
ADKAL-DI,22,GONTK1A,23,LAJTK1A,701,60
ADKAL-DI,23,LAJTK1A,24,PALTK1A,400,60
ADKAL-DI,24,PALTK1A,25,ROCTK1A,354,60
ADKAL-DI,25,ROCTK1A,26,ULATK1A,383,60
ADKAL-DI,26,ULATK1A,27,ZAITK1A,291,60
ADKAL-DI,27,ZAITK1A,28,CELTK1A,346,60
ADKAL-DI,28,CELTK1A,29,CHITK1A,247,60
ADKAL-DI,29,CHITK1A,30,MILTK1A,677,60
ADKAL-DI,30,MILTK1A,31,BNPTK1A,308,60
ADKAL-DI,31,BNPTK1A,32,ESTSI1A,371,60
ADKAL-DI,32,ESTSI1A,33,CRUTK1A,330,60
ADKAL-DI,33,CRUTK1A,34,PMACN4A,571,60
ADKAL-DI,34,PMACN4A,35,OJOAG1A,402,60
ADKAL-DI,35,OJOAG1A,36,IBVTK1A,450,60
ADKAL-DI,36,IBVTK1A,37,ESTAN1C,341,60
ADKAL-DI,37,ESTAN1C,38,SJOTK1A,606,60
ADKAL-DI,38,SJOTK1A,39,RODTK1A,306,60
ADKAL-DI,39,RODTK1A,40,PAZTK1A,372,60
ADKAL-DI,40,PAZTK1A,41,ERUTK1A,221,60
ADKAL-DI,41,ERUTK1A,42,PSMTK4A,659,60
ADKAL-DI,42,PSMTK4A,43,MASMITA,177,60
ADKAL-DI,43,MASMITA,44,C81TK1A,655,60
ADKAL-DI,44,C81TK1A,45,ESPNU1A,305,60
ADKAL-DI,45,ESPNU1A,46,ES12O1A,941,60
ADKAL-DI,46,ES12O1A,47,ASBTK4A,61,60
ADKAL-DI,47,ASBTK4A,48,EBOTK1A,424,60
ADKAL-DI,48,EBOTK1A,49,ESTIG1A,655,60
ADKAL-DI,49,ESTIG1A,50,INGEN1A,300,60
ADKAL-DI,50,INGEN1A,51,BETAN1A,413,60
ADKAL-DI,51,BETAN1A,52,C64TK1A,271,60
ADKAL-DI,52,C64TK1A,53,LPAVA1A,891,60
ADKAL-DI,53,LPAVA1A,54,GCVTM4A,602,60
ADKAL-DI,54,GCVTM4A,55,UNATK1A,565,60
ADKAL-DI,55,UNATK1A,56,VVETK1A,321,60
ADKAL-DI,56,VVETK1A,57,TECCE1A,889,40
ADKAL-DI,58,PYTCE4A,59,DOMCE1A,567,40
ADKAL-DI,59,DOMCE1A,60,ALBROCC,4746,40
ADKAL-DR,1,ALBROCC,2,DOMCE2A,5244,40
ADKAL-DR,2,DOMCE2A,3,PYTCE4A,388,40
ADKAL-DR,3,PYTCE4A,4,TECCE2A,1562,40
ADKAL-DR,4,TECCE2A,5,AVNCE4A,273,60
ADKAL-DR,5,AVNCE4A,6,VVETK2A,274,60
ADKAL-DR,6,VVETK2A,7,UNATK2A,320,60
ADKAL-DR,7,UNATK2A,8,GCVTM4A,536,60
ADKAL-DR,8,GCVTM4A,9,LPAVA2A,643,60
ADKAL-DR,9,LPAVA2A,10,C64TK2A,910,60
ADKAL-DR,10,C64TK2A,11,BETTK2A,270,60
ADKAL-DR,11,BETTK2A,12,INGEN2A,410,60
ADKAL-DR,12,INGEN2A,13,ESTIG2A,501,60
ADKAL-DR,13,ESTIG2A,14,EBOTK2A,509,60
ADKAL-DR,14,EBOTK2A,15,ASBTK4A,322,60
ADKAL-DR,15,ASBTK4A,16,ES12O2A,101,60
ADKAL-DR,16,ES12O2A,17,CPATK2A,344,60
ADKAL-DR,17,CPATK2A,18,ESPNU2A,543,60
ADKAL-DR,18,ESPNU2A,19,C81TK2A,214,60
ADKAL-DR,19,C81TK2A,20,GESTATA,648,60
ADKAL-DR,20,GESTATA,21,PSMTK4A,246,60
ADKAL-DR,21,PSMTK4A,22,ERUTK2A,658,60
ADKAL-DR,22,ERUTK2A,23,PAZTK2A,420,60
ADKAL-DR,23,PAZTK2A,24,MOYTK3A,280,60
ADKAL-DR,24,MOYTK3A,25,SJOTK2A,400,60
ADKAL-DR,25,SJOTK2A,26,ESTAN2B,505,60
ADKAL-DR,26,ESTAN2B,27,IBVTK2A,474,60
ADKAL-DR,27,IBVTK2A,28,OJOAG2A,295,60
ADKAL-DR,28,OJOAG2A,29,PMACN4A,386,60
ADKAL-DR,29,PMACN4A,30,ETITK3A,399,40
ADKAL-DR,30,ETITK3A,31,CSITK2A,208,60
ADKAL-DR,31,CSITK2A,32,ESTSI2A,665,60
ADKAL-DR,32,ESTSI2A,33,BNPTK2A,189,60
ADKAL-DR,33,BNPTK2A,34,MILTK2A,124,60
ADKAL-DR,34,MILTK2A,35,CHITK2A,684,60
ADKAL-DR,35,CHITK2A,36,CELTK2A,278,60
ADKAL-DR,36,CELTK2A,37,ZAITK2A,313,60
ADKAL-DR,37,ZAITK2A,38,ULATK2A,240,60
ADKAL-DR,38,ULATK2A,39,ROCTK2A,428,60
ADKAL-DR,39,ROCTK2A,40,PALTK2A,268,60
ADKAL-DR,40,PALTK2A,41,LAJTK2A,463,60
ADKAL-DR,41,LAJTK2A,42,GONTK2A,764,60
ADKAL-DR,42,GONTK2A,43,EBETK2A,538,60
ADKAL-DR,43,EBETK2A,44,FLOTK2A,593,60
ADKAL-DR,44,FLOTK2A,45,CABTK2A,611,60
ADKAL-DR,45,CABTK2A,46,ECATK4A,295,60
ADKAL-DR,46,ECATK4A,47,CIUCB2A,508,60
ADKAL-DR,47,CIUCB2A,48,VCUTK2A,586,60
ADKAL-DR,48,VCUTK2A,49,ROQTK2A,327,60
ADKAL-DR,49,ROQTK2A,50,EALCDIA,632,30
ADKAL-DR,50,EALCDIA,51,CESAZ3A,184,30
ADKAL-DR,51,CESAZ3A,52,CJGAZ3A,435,30
ADKAL-DR,52,CJGAZ3A,53,BOMAZ3A,319,30
ADKAL-DR,53,BOMAZ3A,54,CTAAZ3A,279,30
ADKAL-DR,54,CTAAZ3A,55,IGLAZ3A,227,30
ADKAL-DR,55,IGLAZ3A,56,CORAZ3A,240,30
ADKAL-DR,56,CORAZ3A,57,OLAAZ3A,223,20
ADKAL-DR,57,OLAAZ3A,58,LIVAZ3A,253,20
ADKAL-DR,58,LIVAZ3A,59,ALTAZ3A,243,20
ADKAL-DR,59,ALTAZ3A,60,GRIAZ3A,147,20
ADKAL-DR,60,GRIAZ3A,61,CA7AZ3A,488,20
ADKAL-DR,61,CA7AZ3A,62,C4BCB1A,402,40
ADKAL-DR,62,C4BCB1A,63,MELCB1A,560,30
ADKAL-DR,63,MELCB1A,64,JUDCB1A,390,40
ADKAL-DR,64,JUDCB1A,65,MOCON1A,335,60
ALKCO,1,ALLSB1A,2,EPASB1A,224,60
ALKCO,2,EPASB1A,3,ALASB1A,2893,60
ALKCO,3,ALASB1A,4,ALCSB1A,1047,60
ALKCO,4,ALCSB1A,5,PUESB1A,643,60
ALKCO,5,PUESB1A,6,ZLCSB1A,1870,60
ALKCO,6,ZLCSB1A,7,PLMSB1A,745,60
ALKCO,7,PLMSB1A,8,ENCSB1A,399,60
ALKCO,8,ENCSB1A,9,ESTAS2A,604,60
ALKCO,9,ESTAS2A,10,ESDSB2A,560,60
ALKCO,10,ESDSB2A,11,PLMSB2A,780,60
ALKCO,11,PLMSB2A,12,CALSB2A,1235,60
ALKCO,12,CALSB2A,13,PUESB2A,1397,60
ALKCO,13,PUESB2A,14,ALCSB2A,726,60
ALKCO,14,ALCSB2A,15,ALASB2A,1016,60
ALKCO,15,ALASB2A,16,EPASB2A,4787,60
ALKCO,16,EPASB2A,17,ALLSB1A,373,60
AMOAL,1,ALBROCE,2,ASCBL3A,2868,60
AMOAL,2,ASCBL3A,3,TBABL3A,667,60
AMOAL,3,TBABL3A,4,CIBAN1A,202,60
AMOAL,4,CIBAN1A,5,ENADA1A,562,60
AMOAL,5,ENADA1A,6,MULAD1A,347,60
AMOAL,6,MULAD1A,7,HOOAD1A,707,40
AMOAL,7,HOOAD1A,8,FIGAD1A,1205,40
AMOAL,8,FIGAD1A,9,BIMAD1A,366,60
AMOAL,9,BIMAD1A,10,SMIAD3A,2438,40
AMOAL,10,SMIAD3A,11,PERAD1A,519,40
AMOAL,11,PERAD1A,12,ISFLA3A,927,40
AMOAL,12,ISFLA3A,13,PERAD2A,758,40
AMOAL,13,PERAD2A,14,BIMAD2A,2967,60
AMOAL,14,BIMAD2A,15,FIGAD2A,887,40
AMOAL,15,FIGAD2A,16,HOOAD2A,583,40
AMOAL,16,HOOAD2A,17,MULAD2A,283,60
AMOAL,17,MULAD2A,18,ENADA2A,817,60
AMOAL,18,ENADA2A,19,CIBAN2A,539,60
AMOAL,19,CIBAN2A,20,TEBAL2A,306,60
AMOAL,20,TEBAL2A,21,ALBROCE,2735,40
BCKAL-I,1,CAL1C1A,2,C3BDB1A,480,40
BCKAL-I,2,C3BDB1A,3,CA4DB1A,260,40
BCKAL-I,3,CA4DB1A,4,SAUDB1A,268,40
BCKAL-I,4,SAUDB1A,5,C5CDB1A,253,30
BCKAL-I,5,C5CDB1A,6,CA6DB1A,411,40
BCKAL-I,6,CA6DB1A,7,CANDB1A,192,40
BCKAL-I,7,CANDB1A,8,PARDB2A,500,40
BCKAL-I,8,PARDB2A,9,VEODB2A,337,40
BCKAL-I,9,VEODB2A,10,VILDB2A,398,40
BCKAL-I,10,VILDB2A,11,VDADB2A,400,40
BCKAL-I,11,VDADB2A,12,BOSDB3A,540,60
BCKAL-I,12,BOSDB3A,13,PIQDB4A,8,40
BCKAL-I,13,PIQDB4A,14,AVPDB2A,345,40
BCKAL-I,14,AVPDB2A,15,TERDB2A,407,40
BCKAL-I,15,TERDB2A,16,CRODB2A,200,40
BCKAL-I,16,CRODB2A,17,BHODB2A,284,40
BCKAL-I,17,BHODB2A,18,IBHDB2A,364,40
BCKAL-I,18,IBHDB2A,19,CAODB2A,216,40
BCKAL-I,19,CAODB2A,20,CPRAD2A,563,30
BCKAL-I,20,CPRAD2A,21,BOSTM1A,882,60
BCKAL-I,21,BOSTM1A,22,CA1391A,531,60
BCKAL-I,23,PAETM1A,24,PPETM4A,362,60
BCKAL-I,24,PPETM4A,25,NCATM1A,509,60
BCKAL-I,25,NCATM1A,26,BSATM1A,847,60
BCKAL-I,26,BSATM1A,27,ESTLP1B,622,40
BCKAL-I,27,ESTLP1B,28,CVITM1A,482,60
BCKAL-I,28,CVITM1A,29,BRITM1A,638,60
BCKAL-I,29,BRITM1A,30,SPNTM1A,362,60
BCKAL-I,30,SPNTM1A,31,SCNTM1A,616,60
BCKAL-I,31,SCNTM1A,32,PCOTM1A,1099,60
BCKAL-I,32,PCOTM1A,33,VLUTM1A,431,60
BCKAL-I,33,VLUTM1A,34,CCOTM1A,880,60
BCKAL-I,34,CCOTM1A,35,GROTM4A,436,60
BCKAL-I,35,GROTM4A,36,ROOTM1A,102,40
BCKAL-I,36,ROOTM1A,37,SHETM1A,655,60
BCKAL-I,37,SHETM1A,38,ESTCO1B,626,40
BCKAL-I,38,ESTCO1B,39,PSMTK4A,477,60
BCKAL-I,39,PSMTK4A,40,MASMITA,177,60
BCKAL-I,40,MASMITA,41,C81TK1A,655,60
BCKAL-I,41,C81TK1A,42,ESPNU1A,305,60
BCKAL-I,42,ESPNU1A,43,ES12O1A,941,60
BCKAL-I,43,ES12O1A,44,ASBTK4A,61,60
BCKAL-I,44,ASBTK4A,45,EBOTK1A,424,60
BCKAL-I,45,EBOTK1A,46,ESTIG1A,655,60
BCKAL-I,46,ESTIG1A,47,INGEN1A,300,60
BCKAL-I,47,INGEN1A,48,BETAN1A,413,60
BCKAL-I,48,BETAN1A,49,C64TK1A,271,60
BCKAL-I,49,C64TK1A,50,LPAVA1A,891,60
BCKAL-I,50,LPAVA1A,51,GCVTM4A,602,60
BCKAL-I,51,GCVTM4A,52,UNATK1A,565,60
BCKAL-I,52,UNATK1A,53,VVETK1A,321,60
BCKAL-I,53,VVETK1A,54,AVNCE4A,554,60
BCKAL-I,54,AVNCE4A,55,MSOCE1A,293,60
BCKAL-I,55,MSOCE1A,56,PERVE3A,598,60
BCKAL-I,56,PERVE3A,57,IGLDB3A,274,60
BCKAL-I,57,IGLDB3A,58,PCACE3A,288,60
BCKAL-I,58,PCACE3A,59,CAMCE3A,640,60
BCKAL-I,59,CAMCE3A,60,MOGCE4A,59,60
BCKAL-I,60,MOGCE4A,61,ABACE1A,742,60
BCKAL-I,61,ABACE1A,62,PNACE1A,565,40
BCKAL-I,62,PNACE1A,63,ALBROCB,2518,40
BCKAL-R,1,ALBROCB,2,PNACE2A,3154,40
BCKAL-R,2,PNACE2A,3,ABACE2A,317,40
BCKAL-R,3,ABACE2A,4,MOGCE4A,993,60
BCKAL-R,4,MOGCE4A,5,ESTAMAN,1038,40
BCKAL-R,5,ESTAMAN,6,MCACE3A,405,40
BCKAL-R,6,MCACE3A,7,C28CE3A,338,60
BCKAL-R,7,C28CE3A,8,LONCE3A,284,60
BCKAL-R,8,LONCE3A,9,PFACE3A,279,60
BCKAL-R,9,PFACE3A,10,MEFCE4A,139,60
BCKAL-R,10,MEFCE4A,11,IJACE3A,98,60
BCKAL-R,11,IJACE3A,12,AVNCE4A,782,60
BCKAL-R,12,AVNCE4A,13,VVETK2A,274,60
BCKAL-R,13,VVETK2A,14,UNATK2A,320,60
BCKAL-R,14,UNATK2A,15,GCVTM4A,536,60
BCKAL-R,15,GCVTM4A,16,LPAVA2A,643,60
BCKAL-R,16,LPAVA2A,17,C64TK2A,910,60
BCKAL-R,17,C64TK2A,18,BETTK2A,270,60
BCKAL-R,18,BETTK2A,19,INGEN2A,410,60
BCKAL-R,19,INGEN2A,20,ESTIG2A,501,60
BCKAL-R,20,ESTIG2A,21,EBOTK2A,509,60
BCKAL-R,21,EBOTK2A,22,ASBTK4A,322,60
BCKAL-R,22,ASBTK4A,23,ES12O2A,101,60
BCKAL-R,23,ES12O2A,24,CPATK2A,344,60
BCKAL-R,24,CPATK2A,25,ESPNU2A,543,60
BCKAL-R,25,ESPNU2A,26,C81TK2A,214,60
BCKAL-R,26,C81TK2A,27,GESTATA,648,60
BCKAL-R,27,GESTATA,28,COLTM2A,769,60
BCKAL-R,28,COLTM2A,29,SHETM2A,619,60
BCKAL-R,29,SHETM2A,30,ROOTM2A,608,40
BCKAL-R,30,ROOTM2A,31,GROTM4A,165,60
BCKAL-R,31,GROTM4A,32,CCOTM2A,695,60
BCKAL-R,32,CCOTM2A,33,CLITM3A,264,60
BCKAL-R,33,CLITM3A,34,VLUTM2A,347,60
BCKAL-R,34,VLUTM2A,35,PCOTM2A,476,60
BCKAL-R,35,PCOTM2A,36,SCNTM2A,1093,60
BCKAL-R,36,SCNTM2A,37,SPNTM2A,601,60
BCKAL-R,37,SPNTM2A,38,BRITM2A,330,60
BCKAL-R,38,BRITM2A,39,CVITM2A,638,60
BCKAL-R,39,CVITM2A,40,ESTLP2A,406,40
BCKAL-R,40,ESTLP2A,41,BSATM2A,700,60
BCKAL-R,41,BSATM2A,42,NCATM2A,847,60
BCKAL-R,42,NCATM2A,43,PPETM4A,644,60
BCKAL-R,43,PPETM4A,44,139TM2A,596,40
BCKAL-R,44,139TM2A,45,BOSTM2A,595,60
BCKAL-R,45,BOSTM2A,46,149TM3A,238,60
BCKAL-R,46,149TM3A,47,CPRAD1A,628,30
BCKAL-R,47,CPRAD1A,48,CAODB1A,567,40
BCKAL-R,48,CAODB1A,49,IBHDB1A,216,40
BCKAL-R,49,IBHDB1A,50,BHODB1A,364,40
BCKAL-R,51,CRODB1A,52,TERDB1A,270,40
BCKAL-R,52,TERDB1A,53,AVPDB1A,415,40
BCKAL-R,53,AVPDB1A,54,PIQDB4A,387,40
BCKAL-R,54,PIQDB4A,55,VDADB1A,17,40
BCKAL-R,55,VDADB1A,56,VILDB1A,409,40
BCKAL-R,56,VILDB1A,57,VEODB1A,336,40
BCKAL-R,57,VEODB1A,58,CANDB2A,897,40
BCKAL-R,58,CANDB2A,59,CA6DB2A,190,30
BCKAL-R,59,CA6DB2A,60,C5CDB2A,193,40
BCKAL-R,60,C5CDB2A,61,SAUDB2A,411,40
BCKAL-R,61,SAUDB2A,62,CA4DB2A,250,40
BCKAL-R,62,CA4DB2A,63,C3BDB2A,268,40
BCKAL-R,63,C3BDB2A,64,CAL1C2A,450,40
BCKCS-I,1,CAL1C1A,2,C3BDB1A,480,40
BCKCS-I,2,C3BDB1A,3,CA4DB1A,260,40
BCKCS-I,3,CA4DB1A,4,SAUDB1A,268,40
BCKCS-I,4,SAUDB1A,5,C5CDB1A,253,30
BCKCS-I,5,C5CDB1A,6,CA6DB1A,411,40
BCKCS-I,6,CA6DB1A,7,CANDB1A,192,40
BCKCS-I,7,CANDB1A,8,PARDB2A,500,40
BCKCS-I,8,PARDB2A,9,VEODB2A,337,40
BCKCS-I,9,VEODB2A,10,VILDB2A,398,40
BCKCS-I,10,VILDB2A,11,VDADB2A,400,40
BCKCS-I,11,VDADB2A,12,BOSDB3A,540,60
BCKCS-I,12,BOSDB3A,13,PIQDB4A,8,40
BCKCS-I,13,PIQDB4A,14,AVPDB2A,345,40
BCKCS-I,14,AVPDB2A,15,TERDB2A,407,40
BCKCS-I,15,TERDB2A,16,CRODB2A,200,40
BCKCS-I,16,CRODB2A,17,BHODB2A,284,40
BCKCS-I,17,BHODB2A,18,IBHDB2A,364,40
BCKCS-I,18,IBHDB2A,19,CAODB2A,216,40
BCKCS-I,19,CAODB2A,20,CPRAD2A,563,30
BCKCS-I,20,CPRAD2A,21,BOSTM1A,882,60
BCKCS-I,21,BOSTM1A,22,CA1391A,531,60
BCKCS-I,22,CA1391A,23,PAETM1A,418,60
BCKCS-I,23,PAETM1A,24,PPETM4A,362,60
BCKCS-I,24,PPETM4A,25,NCATM1A,509,60
BCKCS-I,25,NCATM1A,26,BSATM1A,847,60
BCKCS-I,26,BSATM1A,27,ESTLP1B,622,40
BCKCS-I,27,ESTLP1B,28,CVITM1A,482,60
BCKCS-I,28,CVITM1A,29,BRITM1A,638,60
BCKCS-I,29,BRITM1A,30,SPNTM1A,362,60
BCKCS-I,30,SPNTM1A,31,SCNTM1A,616,60
BCKCS-I,31,SCNTM1A,32,PCOTM1A,1099,60
BCKCS-I,32,PCOTM1A,33,VLUTM1A,431,60
BCKCS-I,33,VLUTM1A,34,CCOTM1A,880,60
BCKCS-I,34,CCOTM1A,35,GROTM4A,436,60
BCKCS-I,35,GROTM4A,36,ROOTM1A,102,40
BCKCS-I,36,ROOTM1A,37,SHETM1A,655,60
BCKCS-I,37,SHETM1A,38,ESTCO1B,626,40
BCKCS-I,38,ESTCO1B,39,PSMTK4A,477,60
BCKCS-I,39,PSMTK4A,40,MASMITA,177,60
BCKCS-I,40,MASMITA,41,C81TK1A,655,60
BCKCS-I,41,C81TK1A,42,ESPNU1A,305,60
BCKCS-I,42,ESPNU1A,43,ES12O1A,941,60
BCKCS-I,43,ES12O1A,44,ASBTK4A,61,60
BCKCS-I,44,ASBTK4A,45,EBOTK1A,424,60
BCKCS-I,45,EBOTK1A,46,ESTIG1A,655,60
BCKCS-I,46,ESTIG1A,47,INGEN1A,300,60
BCKCS-I,47,INGEN1A,48,BETAN1A,413,60
BCKCS-I,48,BETAN1A,49,C64TK1A,271,60
BCKCS-I,49,C64TK1A,50,MULTK1A,411,60
BCKCS-I,50,MULTK1A,51,LPAVA1A,480,60
BCKCS-I,51,LPAVA1A,52,GCVTM4A,602,60
BCKCS-I,52,GCVTM4A,53,UNATK1A,565,60
BCKCS-I,53,UNATK1A,54,VVETK1A,321,60
BCKCS-R,1,VVETK2A,2,UNATK2A,320,60
BCKCS-R,2,UNATK2A,3,GCVTM4A,536,60
BCKCS-R,3,GCVTM4A,4,LPAVA2A,643,60
BCKCS-R,4,LPAVA2A,5,MULTK2A,485,60
BCKCS-R,5,MULTK2A,6,C64TK2A,425,60
BCKCS-R,6,C64TK2A,7,BETTK2A,270,60
